coin,timeframe,status,bars,signals,trades,wins,losses,win_rate,pf,pnl,return,capital_final
BTC,15m,OK,275044,10278,1643,479,1164,29.15398660986001,0.9363754956081409,-51242.81136222578,-51.24281136222578,48757.18863777422
BTC,1h,OK,68772,3331,546,139,407,25.457875457875456,0.818746544599352,-53249.76039680985,-53.249760396809855,46750.23960319015
BTC,4h,OK,17208,906,107,23,84,21.49532710280374,0.6577052617342372,-27149.971973314896,-27.149971973314894,72850.0280266851
BTC,1d,OK,2871,115,2,0,2,0.0,0.0,-2267.004000000001,-2.267004000000001,97732.996
ETH,15m,OK,275044,11180,1917,496,1421,25.87376108502869,0.8132485045111819,-92762.50854162002,-92.76250854162001,7237.49145837999
ETH,1h,OK,68772,3487,555,141,414,25.405405405405407,0.8066100196051441,-54360.94157149129,-54.360941571491296,45639.05842850871
ETH,4h,OK,17208,1009,74,12,62,16.216216216216218,0.45308705833825086,-31177.70796857764,-31.17770796857764,68822.29203142236
ETH,1d,OK,2871,132,1,0,1,0.0,0.0,-1140.0,-1.1400000000000001,98860.0
SOL,15m,OK,183970,6926,1413,394,1019,27.883934890304317,0.9525794087494501,-46802.63691635981,-46.80263691635981,53197.36308364019
SOL,1h,OK,45996,1779,317,86,231,27.129337539432175,0.9076085153235398,-20689.72176537165,-20.68972176537165,79310.27823462835
SOL,4h,OK,11505,476,21,6,15,28.57142857142857,0.9807153989617469,-336.7906809705164,-0.3367906809705164,99663.20931902948
SOL,1d,OK,1918,51,0,0,0,0.0,0.0,0.0,0.0,100000.0
AVAX,15m,OK,179947,6587,1323,364,959,27.513227513227513,0.9585295054600216,-55342.68477107358,-55.34268477107358,44657.31522892642
AVAX,1h,OK,44991,1921,320,91,229,28.4375,0.9750254685821153,-6607.985935950666,-6.6079859359506665,93392.01406404933
AVAX,4h,OK,11254,535,32,9,23,28.125,0.9581008935584429,-1073.5088723451772,-1.0735088723451773,98926.49112765482
AVAX,1d,OK,1876,79,1,0,1,0.0,0.0,-1140.0,-1.1400000000000001,98860.0
DOT,15m,OK,183241,6284,1261,346,915,27.4385408406027,0.9288188229576912,-57178.79417462531,-57.17879417462532,42821.20582537469
DOT,1h,OK,45814,1774,324,77,247,23.765432098765434,0.7820516039053318,-48735.053653321236,-48.73505365332124,51264.946346678764
DOT,4h,OK,11460,554,40,5,35,12.5,0.35403556974001654,-22955.31311148312,-22.955313111483118,77044.68688851688
DOT,1d,OK,1911,48,0,0,0,0.0,0.0,0.0,0.0,100000.0
LINK,15m,OK,238797,8045,1652,463,1189,28.026634382566584,0.9665063504924691,-48379.2941664912,-48.3792941664912,51620.7058335088
LINK,1h,OK,59707,2322,410,108,302,26.34146341463415,0.8904846510319528,-34794.08087351128,-34.79408087351128,65205.91912648872
LINK,4h,OK,14938,581,35,6,29,17.142857142857142,0.5177361831895997,-15116.485285918243,-15.116485285918243,84883.51471408176
LINK,1d,OK,2491,48,1,1,0,100.0,0.0,2850.0,2.85,102850.0
LTC,15m,OK,275055,9907,1889,574,1315,30.38644785600847,1.0866647602485584,158146.82678959082,158.14682678959082,258146.82678959082
LTC,1h,OK,68775,3098,466,120,346,25.75107296137339,0.8389483194986255,-44837.33457363854,-44.837334573638536,55162.66542636146
LTC,4h,OK,17209,839,56,10,46,17.857142857142858,0.5187861652295007,-21838.867739814843,-21.838867739814845,78161.13226018516
LTC,1d,OK,2871,105,0,0,0,0.0,0.0,0.0,0.0,100000.0
ALGO,15m,OK,223833,7976,1599,478,1121,29.893683552220136,1.026547967807294,76212.74366214636,76.21274366214635,176212.74366214636
ALGO,1h,OK,55965,2301,367,94,273,25.61307901907357,0.8472691879955588,-38647.91888555711,-38.64791888555711,61352.08111444289
ALGO,4h,OK,14001,662,37,14,23,37.83783783783784,1.4458011610671346,13850.275348515439,13.850275348515439,113850.27534851544
ALGO,1d,OK,2334,124,2,0,2,0.0,0.0,-2267.004000000001,-2.267004000000001,97732.996
HBAR,15m,OK,214345,7244,1430,395,1035,27.62237762237762,0.9418338997941116,-54677.949412777016,-54.67794941277702,45322.050587222984
HBAR,1h,OK,53593,1876,363,109,254,30.02754820936639,1.0546352862229362,16279.250301782624,16.279250301782625,116279.25030178262
HBAR,4h,OK,13407,514,36,12,24,33.33333333333333,1.2272884260114492,6401.095477521943,6.4010954775219435,106401.09547752194
HBAR,1d,OK,2235,85,0,0,0,0.0,0.0,0.0,0.0,100000.0
LDO,15m,OK,122994,4956,924,257,667,27.81385281385281,0.9486048322128379,-34805.88222758092,-34.80588222758092,65194.11777241908
LDO,1h,OK,30749,1443,218,60,158,27.522935779816514,0.9189985879539303,-11790.871854161,-11.790871854161,88209.128145839
LDO,4h,OK,7689,422,15,8,7,53.333333333333336,2.8169605257247294,15552.304481665517,15.552304481665516,115552.30448166552
LDO,1d,OK,1282,60,2,1,1,50.0,2.430724355858032,1677.5099999999948,1.677509999999995,101677.51
ENA,15m,OK,56387,2293,479,140,339,29.227557411273487,1.0116164243746868,4854.463047538564,4.854463047538564,104854.46304753856
ENA,1h,OK,14097,724,84,29,55,34.523809523809526,1.3245931025301023,20242.479103629696,20.242479103629694,120242.4791036297
ENA,4h,OK,3525,214,3,0,3,0.0,0.0,-3381.160154399986,-3.3811601543999856,96618.83984560001
ENA,1d,OK,588,15,0,0,0,0.0,0.0,0.0,0.0,100000.0
ONDO,15m,OK,20459,713,143,36,107,25.174825174825177,0.8131861760880371,-19358.330092511736,-19.358330092511736,80641.66990748826
ONDO,1h,OK,5115,162,38,14,24,36.84210526315789,1.4409048724891609,12552.382209542353,12.552382209542353,112552.38220954235
ONDO,4h,OK,1280,41,3,0,3,0.0,0.0,-3381.1601544000005,-3.3811601544000003,96618.8398456
ONDO,1d,OK,214,3,0,0,0,0.0,0.0,0.0,0.0,100000.0
SUI,15m,OK,88531,3211,686,195,491,28.425655976676385,0.9754070903983048,-13909.479559991669,-13.90947955999167,86090.52044000833
SUI,1h,OK,22133,933,163,45,118,27.607361963190186,0.9318624515294628,-8457.062538887578,-8.457062538887577,91542.93746111242
SUI,4h,OK,5534,250,7,3,4,42.857142857142854,1.8207258741195143,3919.0846269208123,3.9190846269208124,103919.08462692081
SUI,1d,OK,923,41,1,1,0,100.0,0.0,2850.0,2.85,102850.0
UNI,15m,OK,180441,7009,1342,363,979,27.049180327868854,0.9145487012108298,-65554.21263684957,-65.55421263684956,34445.78736315043
UNI,1h,OK,45114,2086,311,83,228,26.688102893890676,0.8802192858823139,-24550.777805406135,-24.550777805406135,75449.22219459387
UNI,4h,OK,11285,612,23,2,21,8.695652173913043,0.24149686746217383,-16854.007710459293,-16.854007710459292,83145.9922895407
UNI,1d,OK,1881,56,0,0,0,0.0,0.0,0.0,0.0,100000.0
